0: inicijalno -> 0 <A> { $ } ==> normal: 1, epsilon: 2 96 
1: inicijalno -> <A> 0 { $ } ==> normal: -1, epsilon: 
2: <A> -> 0 <B> <C> c { $ } ==> normal: 3, epsilon: 95 28 
3: <A> -> <B> 0 <C> c { $ } ==> normal: 4, epsilon: 6 24 
4: <A> -> <B> <C> 0 c { $ } ==> normal: 5, epsilon: 
5: <A> -> <B> <C> c 0 { $ } ==> normal: -1, epsilon: 
6: <C> -> 0 <D> a <B> { c } ==> normal: 7, epsilon: 94 79 
7: <C> -> <D> 0 a <B> { c } ==> normal: 8, epsilon: 
8: <C> -> <D> a 0 <B> { c } ==> normal: 9, epsilon: 10 11 
9: <C> -> <D> a <B> 0 { c } ==> normal: -1, epsilon: 
10: <B> -> 0 { c } ==> normal: -1, epsilon: 
11: <B> -> 0 b <C> <D> <E> { c } ==> normal: 12, epsilon: 
12: <B> -> b 0 <C> <D> <E> { c } ==> normal: 13, epsilon: 58 75 
13: <B> -> b <C> 0 <D> <E> { c } ==> normal: 14, epsilon: 93 54 
14: <B> -> b <C> <D> 0 <E> { c } ==> normal: 15, epsilon: 16 91 
15: <B> -> b <C> <D> <E> 0 { c } ==> normal: -1, epsilon: 
16: <E> -> 0 e <A> f { c } ==> normal: 17, epsilon: 
17: <E> -> e 0 <A> f { c } ==> normal: 18, epsilon: 20 37 
18: <E> -> e <A> 0 f { c } ==> normal: 19, epsilon: 
19: <E> -> e <A> f 0 { c } ==> normal: -1, epsilon: 
20: <A> -> 0 <B> <C> c { f } ==> normal: 21, epsilon: 27 28 
21: <A> -> <B> 0 <C> c { f } ==> normal: 22, epsilon: 6 24 
22: <A> -> <B> <C> 0 c { f } ==> normal: 23, epsilon: 
23: <A> -> <B> <C> c 0 { f } ==> normal: -1, epsilon: 
24: <C> -> 0 c a { c } ==> normal: 25, epsilon: 
25: <C> -> c 0 a { c } ==> normal: 26, epsilon: 
26: <C> -> c a 0 { c } ==> normal: -1, epsilon: 
27: <B> -> 0 { a c d c } ==> normal: -1, epsilon: 
28: <B> -> 0 b <C> <D> <E> { a c d c } ==> normal: 29, epsilon: 
29: <B> -> b 0 <C> <D> <E> { a c d c } ==> normal: 30, epsilon: 58 75 
30: <B> -> b <C> 0 <D> <E> { a c d c } ==> normal: 31, epsilon: 90 54 
31: <B> -> b <C> <D> 0 <E> { a c d c } ==> normal: 32, epsilon: 33 88 
32: <B> -> b <C> <D> <E> 0 { a c d c } ==> normal: -1, epsilon: 
33: <E> -> 0 e <A> f { a c d c } ==> normal: 34, epsilon: 
34: <E> -> e 0 <A> f { a c d c } ==> normal: 35, epsilon: 20 37 
35: <E> -> e <A> 0 f { a c d c } ==> normal: 36, epsilon: 
36: <E> -> e <A> f 0 { a c d c } ==> normal: -1, epsilon: 
37: <A> -> 0 e <D> <B> { f } ==> normal: 38, epsilon: 
38: <A> -> e 0 <D> <B> { f } ==> normal: 39, epsilon: 83 84 
39: <A> -> e <D> 0 <B> { f } ==> normal: 40, epsilon: 41 42 
40: <A> -> e <D> <B> 0 { f } ==> normal: -1, epsilon: 
41: <B> -> 0 { f } ==> normal: -1, epsilon: 
42: <B> -> 0 b <C> <D> <E> { f } ==> normal: 43, epsilon: 
43: <B> -> b 0 <C> <D> <E> { f } ==> normal: 44, epsilon: 58 75 
44: <B> -> b <C> 0 <D> <E> { f } ==> normal: 45, epsilon: 53 54 
45: <B> -> b <C> <D> 0 <E> { f } ==> normal: 46, epsilon: 47 51 
46: <B> -> b <C> <D> <E> 0 { f } ==> normal: -1, epsilon: 
47: <E> -> 0 e <A> f { f } ==> normal: 48, epsilon: 
48: <E> -> e 0 <A> f { f } ==> normal: 49, epsilon: 20 37 
49: <E> -> e <A> 0 f { f } ==> normal: 50, epsilon: 
50: <E> -> e <A> f 0 { f } ==> normal: -1, epsilon: 
51: <E> -> 0 c { f } ==> normal: 52, epsilon: 
52: <E> -> c 0 { f } ==> normal: -1, epsilon: 
53: <D> -> 0 { c e } ==> normal: -1, epsilon: 
54: <D> -> 0 d <D> { c e } ==> normal: 55, epsilon: 
55: <D> -> d 0 <D> { c e } ==> normal: 56, epsilon: 57 54 
56: <D> -> d <D> 0 { c e } ==> normal: -1, epsilon: 
57: <D> -> 0 { c e } ==> normal: -1, epsilon: 
58: <C> -> 0 <D> a <B> { d c e $ } ==> normal: 59, epsilon: 78 79 
59: <C> -> <D> 0 a <B> { d c e $ } ==> normal: 60, epsilon: 
60: <C> -> <D> a 0 <B> { d c e $ } ==> normal: 61, epsilon: 62 63 
61: <C> -> <D> a <B> 0 { d c e $ } ==> normal: -1, epsilon: 
62: <B> -> 0 { d c e $ } ==> normal: -1, epsilon: 
63: <B> -> 0 b <C> <D> <E> { d c e $ } ==> normal: 64, epsilon: 
64: <B> -> b 0 <C> <D> <E> { d c e $ } ==> normal: 65, epsilon: 58 75 
65: <B> -> b <C> 0 <D> <E> { d c e $ } ==> normal: 66, epsilon: 74 54 
66: <B> -> b <C> <D> 0 <E> { d c e $ } ==> normal: 67, epsilon: 68 72 
67: <B> -> b <C> <D> <E> 0 { d c e $ } ==> normal: -1, epsilon: 
68: <E> -> 0 e <A> f { d c e $ } ==> normal: 69, epsilon: 
69: <E> -> e 0 <A> f { d c e $ } ==> normal: 70, epsilon: 20 37 
70: <E> -> e <A> 0 f { d c e $ } ==> normal: 71, epsilon: 
71: <E> -> e <A> f 0 { d c e $ } ==> normal: -1, epsilon: 
72: <E> -> 0 c { d c e $ } ==> normal: 73, epsilon: 
73: <E> -> c 0 { d c e $ } ==> normal: -1, epsilon: 
74: <D> -> 0 { c e } ==> normal: -1, epsilon: 
75: <C> -> 0 c a { d c e $ } ==> normal: 76, epsilon: 
76: <C> -> c 0 a { d c e $ } ==> normal: 77, epsilon: 
77: <C> -> c a 0 { d c e $ } ==> normal: -1, epsilon: 
78: <D> -> 0 { a b $ } ==> normal: -1, epsilon: 
79: <D> -> 0 d <D> { a b $ } ==> normal: 80, epsilon: 
80: <D> -> d 0 <D> { a b $ } ==> normal: 81, epsilon: 82 79 
81: <D> -> d <D> 0 { a b $ } ==> normal: -1, epsilon: 
82: <D> -> 0 { a b $ } ==> normal: -1, epsilon: 
83: <D> -> 0 { b $ } ==> normal: -1, epsilon: 
84: <D> -> 0 d <D> { b $ } ==> normal: 85, epsilon: 
85: <D> -> d 0 <D> { b $ } ==> normal: 86, epsilon: 87 84 
86: <D> -> d <D> 0 { b $ } ==> normal: -1, epsilon: 
87: <D> -> 0 { b $ } ==> normal: -1, epsilon: 
88: <E> -> 0 c { a c d c } ==> normal: 89, epsilon: 
89: <E> -> c 0 { a c d c } ==> normal: -1, epsilon: 
90: <D> -> 0 { c e } ==> normal: -1, epsilon: 
91: <E> -> 0 c { c } ==> normal: 92, epsilon: 
92: <E> -> c 0 { c } ==> normal: -1, epsilon: 
